"Item","RM","BM","Brand","Quality","SPL","TT","MTM","Purpose","Type","D1","W1","L1","D2","L2","Zn","D3","L3","A1_DEG","D1_Inch","W1_Inch","L1_Inch","Is PL","ROL","CETSH","Template or Variant Of","Description","EOL","Created By","Creation"
"CX0XGBE00021","-","Carbide","None","C-0X","None","Ball Nose End Mills","-","General","-",2,"",6,3,38,2,"","","","-","-","-","No","","82079090","104-2-Flute GP-0X Ball Nose-Metric","S/C NB 0X  GP-BNEM FØ:2mm FL:6mm SØ:3mm OAL:38mm Z=2","2099-12-31","sushil.rathee@rigpl.com","2013-11-26 20:27:44"
"CX0XGBE00BM4","-","Carbide","None","C-0X","None","Ball Nose End Mills","-","General","-",2,"",12,3,50,2,"","","","-","-","-","No","","82079090","104-2-Flute GP-0X Ball Nose-Metric","S/C NB 0X  GP-BNEM FØ:2mm FL:12mm SØ:3mm OAL:50mm Z=2","2099-12-31","ramesh.pant@rigpl.com","2014-12-17 13:46:01.133665"
"CX0XGBE003C1","-","Carbide","None","C-0X","None","Ball Nose End Mills","-","General","-",3,"",16,3,50,2,"","","","-","-","-","No",75,"82079090","104-2-Flute GP-0X Ball Nose-Metric","S/C NB 0X  GP-BNEM FØ:3mm FL:16mm SØ:3mm OAL:50mm Z=2","2099-12-31","aditya@rigpl.com","2013-05-10 17:32:32"
"CX0XGBE000W0","-","Carbide","None","C-0X","None","Ball Nose End Mills","-","General","-",4,"",22,4,50,4,"","","","-","-","-","No","","82079090","102-4-Flute GP-0X Ball Nose-Metric","S/C NB 0X  GP-BNEM FØ:4mm FL:22mm SØ:4mm OAL:50mm Z=4","2099-12-31","ramesh.pant@rigpl.com","2013-05-14 17:13:46"
"CX0XGBE003F4","-","Carbide","None","C-0X","None","Ball Nose End Mills","-","General","-",4,"",22,4,50,2,"","","","-","-","-","No",150,"82079090","104-2-Flute GP-0X Ball Nose-Metric","S/C NB 0X  GP-BNEM FØ:4mm FL:22mm SØ:4mm OAL:50mm Z=2","2099-12-31","aditya@rigpl.com","2013-05-10 17:32:32"
"CX0XGBE000Y5","-","Carbide","None","C-0X","None","Ball Nose End Mills","-","General","-",4,"",25,4,75,4,"","","","-","-","-","No","","82079090","102-4-Flute GP-0X Ball Nose-Metric","S/C NB 0X  GP-BNEM FØ:4mm FL:25mm SØ:4mm OAL:75mm Z=4","2099-12-31","ramesh.pant@rigpl.com","2013-10-28 13:00:26"
"CX0XGBE00BS0","-","Carbide","None","C-0X","None","Ball Nose End Mills","-","General","-",4,"",30,4,60,2,"","","","-","-","-","No","","82079090","104-2-Flute GP-0X Ball Nose-Metric","S/C NB 0X  GP-BNEM FØ:4mm FL:30mm SØ:4mm OAL:60mm Z=2","2099-12-31","abhinav@rigpl.com","2015-01-14 18:53:51.718745"
"CX0XGBE00BD3","-","Carbide","None","C-0X","None","Ball Nose End Mills","-","General","-",4,"",35,4,75,2,"","","","-","-","-","No","","82079090","104-2-Flute GP-0X Ball Nose-Metric","S/C NB 0X  GP-BNEM FØ:4mm FL:35mm SØ:4mm OAL:75mm Z=2","2099-12-31","abhinav@rigpl.com","2014-09-30 13:51:49.510242"
"CX0XGBE00104","-","Carbide","None","C-0X","None","Ball Nose End Mills","-","General","-",5,"",22,5,50,4,"","","","-","-","-","No","","82079090","102-4-Flute GP-0X Ball Nose-Metric","S/C NB 0X  GP-BNEM FØ:5mm FL:22mm SØ:5mm OAL:50mm Z=4","2099-12-31","ramesh.pant@rigpl.com","2013-05-14 16:56:39"
"CX0XGBE003J5","-","Carbide","None","C-0X","None","Ball Nose End Mills","-","General","-",5,"",22,5,50,2,"","","","-","-","-","No",300,"82079090","104-2-Flute GP-0X Ball Nose-Metric","S/C NB 0X  GP-BNEM FØ:5mm FL:22mm SØ:5mm OAL:50mm Z=2","2099-12-31","aditya@rigpl.com","2013-05-10 17:32:32"
"CX0XGBE00054","-","Carbide","None","C-0X","None","Ball Nose End Mills","-","General","-",5,"",30,5,60,2,"","","","-","-","-","No","","82079090","104-2-Flute GP-0X Ball Nose-Metric","S/C NB 0X  GP-BNEM FØ:5mm FL:30mm SØ:5mm OAL:60mm Z=2","2099-12-31","aditya@rigpl.com","2014-02-28 09:21:28"
"CX0XGBE003M9","-","Carbide","None","C-0X","None","Ball Nose End Mills","-","General","-",5,"",35,5,75,2,"","","","-","-","-","No","","82079090","104-2-Flute GP-0X Ball Nose-Metric","S/C NB 0X  GP-BNEM FØ:5mm FL:35mm SØ:5mm OAL:75mm Z=2","2099-12-31","aditya@rigpl.com","2013-05-10 17:32:32"
"CX0XGBE00070","-","Carbide","None","C-0X","None","Ball Nose End Mills","-","General","-",5,"",50,5,100,2,"","","","-","-","-","No","","82079090","104-2-Flute GP-0X Ball Nose-Metric","S/C NB 0X  GP-BNEM FØ:5mm FL:50mm SØ:5mm OAL:100mm Z=2","2099-12-31","abhinav@rigpl.com","2014-04-23 15:56:30"
"CX0XGBE00120","-","Carbide","None","C-0X","None","Ball Nose End Mills","-","General","-",6,"",22,6,50,4,"","","","-","-","-","No","","82079090","102-4-Flute GP-0X Ball Nose-Metric","S/C NB 0X  GP-BNEM FØ:6mm FL:22mm SØ:6mm OAL:50mm Z=4","2099-12-31","sushil.rathee@rigpl.com","2013-10-24 22:51:56"
"CX0XGBE003Q0","-","Carbide","None","C-0X","None","Ball Nose End Mills","-","General","-",6,"",22,6,50,2,"","","","-","-","-","No",1300,"82079090","104-2-Flute GP-0X Ball Nose-Metric","S/C NB 0X  GP-BNEM FØ:6mm FL:22mm SØ:6mm OAL:50mm Z=2","2099-12-31","aditya@rigpl.com","2013-05-10 17:32:32"
"CX0XGBE00088","-","Carbide","None","C-0X","None","Ball Nose End Mills","-","General","-",6,"",30,6,60,2,"","","","-","-","-","No",15,"82079090","104-2-Flute GP-0X Ball Nose-Metric","S/C NB 0X  GP-BNEM FØ:6mm FL:30mm SØ:6mm OAL:60mm Z=2","2099-12-31","sushil.rathee@rigpl.com","2013-09-20 16:09:14"
"CX0XGBE000A8","-","Carbide","None","C-0X","None","Ball Nose End Mills","-","General","-",6,"",35,6,75,2,"","","","-","-","-","No",10,"82079090","104-2-Flute GP-0X Ball Nose-Metric","S/C NB 0X  GP-BNEM FØ:6mm FL:35mm SØ:6mm OAL:75mm Z=2","2099-12-31","vikas.rathee@rigpl.com","2013-11-29 16:31:07"
"CX0XGBE000C4","-","Carbide","None","C-0X","None","Ball Nose End Mills","-","General","-",6,"",50,6,100,2,"","","","-","-","-","No","","82079090","104-2-Flute GP-0X Ball Nose-Metric","S/C NB 0X  GP-BNEM FØ:6mm FL:50mm SØ:6mm OAL:100mm Z=2","2099-12-31","ramesh.pant@rigpl.com","2013-10-10 16:13:15"
"CX0XGBE000E9","-","Carbide","None","C-0X","None","Ball Nose End Mills","-","General","-",8,"",20,8,60,2,"","","","-","-","-","No","","82079090","104-2-Flute GP-0X Ball Nose-Metric","S/C NB 0X  GP-BNEM FØ:8mm FL:20mm SØ:8mm OAL:60mm Z=2","2099-12-31","ramesh.pant@rigpl.com","2013-06-01 15:14:15"
"CX0XGBE00146","-","Carbide","None","C-0X","None","Ball Nose End Mills","-","General","-",8,"",20,8,60,4,"","","","-","-","-","No","","82079090","102-4-Flute GP-0X Ball Nose-Metric","S/C NB 0X  GP-BNEM FØ:8mm FL:20mm SØ:8mm OAL:60mm Z=4","2099-12-31","abhinav@rigpl.com","2014-01-22 17:18:52"
"CX0XGBE00AP8","-","Carbide","None","C-0X","None","Ball Nose End Mills","-","General","-",8,"",22,8,50,2,"","","","-","-","-","No",30,"82079090","104-2-Flute GP-0X Ball Nose-Metric","S/C NB 0X  GP-BNEM FØ:8mm FL:22mm SØ:8mm OAL:50mm Z=2","2099-12-31","abhinav@rigpl.com","2014-06-10 08:35:08"
"CX0XGBE00AQ6","-","Carbide","None","C-0X","None","Ball Nose End Mills","-","General","-",8,"",30,8,60,2,"","","","-","-","-","No","","82079090","104-2-Flute GP-0X Ball Nose-Metric","S/C NB 0X  GP-BNEM FØ:8mm FL:30mm SØ:8mm OAL:60mm Z=2","2099-12-31","abhinav@rigpl.com","2014-06-10 08:37:02"
