"Item","RM","BM","Brand","Quality","SPL","TT","MTM","Purpose","Type","D1","W1","L1","D2","L2","Zn","D3","L3","A1_DEG","D1_Inch","W1_Inch","L1_Inch","Is PL","ROL","CETSH","Template or Variant Of","Description","EOL","Created By","Creation"
"CX0XGSE00H46","-","Carbide","None","C-0X","None","Flat End Mills","-","General","-",2,"",12,3,50,2,"","","","-","-","-","No","","82079090","103-2-Flute GP-0X Flat End Mills-Metric","S/C NB 0X  GP-SQEM F&#216:2 FL:12 S&#216:3 OAL:50 Z=2","2099-12-31","ramesh.pant@rigpl.com","2014-12-17 13:16:17.256382"
"CX0XGSE00016","-","Carbide","None","C-0X","None","Flat End Mills","-","General","-",3,"",16,3,50,2,"","","","-","-","-","Yes",60,"82079090","103-2-Flute GP-0X Flat End Mills-Metric","S/C NB 0X  GP-SQEM F&#216:3 FL:16 S&#216:3 OAL:50 Z=2","2099-12-31","sushil.rathee@rigpl.com","2013-10-24 22:54:50"
"CX0XGSE00032","-","Carbide","None","C-0X","None","Flat End Mills","-","General","-",4,"",22,4,50,2,"","","","-","-","-","Yes",100,"82079090","103-2-Flute GP-0X Flat End Mills-Metric","S/C NB 0X  GP-SQEM F&#216:4 FL:22 S&#216:4 OAL:50 Z=2","2099-12-31","sushil.rathee@rigpl.com","2013-10-17 14:29:38"
"CX0XGSE00HG4","-","Carbide","None","C-0X","None","Flat End Mills","-","General","-",4,"",30,4,60,2,"","","","-","-","-","Yes","","82079090","103-2-Flute GP-0X Flat End Mills-Metric","S/C NB 0X  GP-SQEM F&#216:4 FL:30 S&#216:4 OAL:60 Z=2","2099-12-31","sushil.rathee@rigpl.com","2015-04-29 12:52:01.726010"
"CX0XGSE00G13","-","Carbide","None","C-0X","None","Flat End Mills","-","General","-",4,"",35,4,75,2,"","","","-","-","-","Yes",5,"82079090","103-2-Flute GP-0X Flat End Mills-Metric","S/C NB 0X  GP-SQEM F&#216:4 FL:35 S&#216:4 OAL:75 Z=2","2099-12-31","abhinav@rigpl.com","2014-07-20 13:08:24.984614"
"CX0XGSE00G21","-","Carbide","None","C-0X","None","Flat End Mills","-","General","-",4,"",50,4,100,2,"","","","-","-","-","Yes","","82079090","103-2-Flute GP-0X Flat End Mills-Metric","S/C NB 0X  GP-SQEM F&#216:4 FL:50 S&#216:4 OAL:100 Z=2","2099-12-31","abhinav@rigpl.com","2014-07-20 13:09:54.273281"
"CX0XGSE00057","-","Carbide","None","C-0X","None","Flat End Mills","-","General","-",5,"",22,5,50,2,"","","","-","-","-","Yes",30,"82079090","103-2-Flute GP-0X Flat End Mills-Metric","S/C NB 0X  GP-SQEM F&#216:5 FL:22 S&#216:5 OAL:50 Z=2","2099-12-31","abhinav@rigpl.com","2014-05-22 10:52:11"
"CX0XGSE00FZ4","-","Carbide","None","C-0X","None","Flat End Mills","-","General","-",5,"",30,5,60,2,"","","","-","-","-","Yes","","82079090","103-2-Flute GP-0X Flat End Mills-Metric","S/C NB 0X  GP-SQEM F&#216:5 FL:30 S&#216:5 OAL:60 Z=2","2099-12-31","abhinav@rigpl.com","2014-07-13 02:58:03.911223"
"CX0XGSE00G05","-","Carbide","None","C-0X","None","Flat End Mills","-","General","-",5,"",35,5,75,2,"","","","-","-","-","Yes","","82079090","103-2-Flute GP-0X Flat End Mills-Metric","S/C NB 0X  GP-SQEM F&#216:5 FL:35 S&#216:5 OAL:75 Z=2","2099-12-31","abhinav@rigpl.com","2014-07-13 03:00:05.725445"
"CX0XGSE00GQ3","-","Carbide","None","C-0X","None","Flat End Mills","-","General","-",5,"",50,5,100,2,"","","","-","-","-","Yes","","82079090","103-2-Flute GP-0X Flat End Mills-Metric","S/C NB 0X  GP-SQEM F&#216:5 FL:50 S&#216:5 OAL:100 Z=2","2099-12-31","abhinav@rigpl.com","2014-09-30 13:48:34.132116"
"CX0XGSE000V5","-","Carbide","None","C-0X","None","Flat End Mills","-","General","-",6,"",18,6,50,4,"","","","-","-","-","No","","82079090","101-4-Flute GP-0X Flat End Mills-Metric","S/C NB 0X  GP-SQEM F&#216:6 FL:18 S&#216:6 OAL:50 Z=4","2099-12-31","sushil.rathee@rigpl.com","2013-09-12 02:33:13"
"CX0XGSE00073","-","Carbide","None","C-0X","None","Flat End Mills","-","General","-",6,"",22,6,50,2,"","","","-","-","-","Yes",90,"82079090","103-2-Flute GP-0X Flat End Mills-Metric","S/C NB 0X  GP-SQEM F&#216:6 FL:22 S&#216:6 OAL:50 Z=2","2099-12-31","ramesh.pant@rigpl.com","2013-10-10 16:24:37"
"CX0XGSE00099","-","Carbide","None","C-0X","None","Flat End Mills","-","General","-",6,"",30,6,60,2,"","","","-","-","-","Yes","","82079090","103-2-Flute GP-0X Flat End Mills-Metric","S/C NB 0X  GP-SQEM F&#216:6 FL:30 S&#216:6 OAL:60 Z=2","2099-12-31","abhinav@rigpl.com","2014-01-20 19:10:15"
"CX0XGSE000A1","-","Carbide","None","C-0X","None","Flat End Mills","-","General","-",6,"",35,6,75,2,"","","","-","-","-","Yes",10,"82079090","103-2-Flute GP-0X Flat End Mills-Metric","S/C NB 0X  GP-SQEM F&#216:6 FL:35 S&#216:6 OAL:75 Z=2","2099-12-31","sushil.rathee@rigpl.com","2014-01-06 11:33:58"
"CX0XGSE00G88","-","Carbide","None","C-0X","None","Flat End Mills","-","General","-",6,"",50,6,100,2,"","","","-","-","-","Yes",10,"82079090","103-2-Flute GP-0X Flat End Mills-Metric","S/C NB 0X  GP-SQEM F&#216:6 FL:50 S&#216:6 OAL:100 Z=2","2099-12-31","abhinav@rigpl.com","2014-09-02 17:21:51.086138"
"CX0XGSE00HN8","-","Carbide","None","C-0X","None","Flat End Mills","-","General","-",8,"",22,8,50,2,"","","","-","-","-","Yes","","82079090","103-2-Flute GP-0X Flat End Mills-Metric","S/C NB 0X  GP-SQEM F&#216:8 FL:22 S&#216:8 OAL:50 Z=2","2099-12-31","sushil.rathee@rigpl.com","2015-07-18 11:25:11.030571"
"CX0XGSE00FV3","-","Carbide","None","C-0X","None","Flat End Mills","-","General","-",8,"",30,8,60,2,"","","","-","-","-","Yes","","82079090","103-2-Flute GP-0X Flat End Mills-Metric","S/C NB 0X  GP-SQEM F&#216:8 FL:30 S&#216:8 OAL:60 Z=2","2099-12-31","abhinav@rigpl.com","2014-06-23 11:36:38.497929"
"CX0XGSE00GY5","-","Carbide","None","C-0X","None","Flat End Mills","-","General","-",8,"",35,8,75,2,"","","","-","-","-","Yes","","82079090","103-2-Flute GP-0X Flat End Mills-Metric","S/C NB 0X  GP-SQEM F&#216:8 FL:35 S&#216:8 OAL:75 Z=2","2099-12-31","abhinav@rigpl.com","2014-10-14 20:14:47.855626"
"CX0XGSE000G8","-","Carbide","None","C-0X","None","Flat End Mills","-","General","-",8,"",50,8,100,2,"","","","-","-","-","Yes",5,"82079090","103-2-Flute GP-0X Flat End Mills-Metric","S/C NB 0X  GP-SQEM F&#216:8 FL:50 S&#216:8 OAL:100 Z=2","2099-12-31","ramesh.pant@rigpl.com","2013-10-10 16:17:29"
"CX0XGSE00H53","-","Carbide","None","C-0X","None","Flat End Mills","-","General","-",10,"",50,10,100,2,"","","","-","-","-","Yes","","82079090","103-2-Flute GP-0X Flat End Mills-Metric","S/C NB 0X  GP-SQEM F&#216:10 FL:50 S&#216:10 OAL:100 Z=2","2099-12-31","ramesh.pant@rigpl.com","2014-12-17 13:52:33.485669"
"CX0XGSE00H61","-","Carbide","None","C-0X","None","Flat End Mills","-","General","-",12,"",50,12,100,2,"","","","-","-","-","Yes","","82079090","103-2-Flute GP-0X Flat End Mills-Metric","S/C NB 0X  GP-SQEM F&#216:12 FL:50 S&#216:12 OAL:100 Z=2","2099-12-31","ramesh.pant@rigpl.com","2014-12-17 13:58:48.137389"
"CX01GSE000J0","-","Carbide","None","C-0X","TiAlN","Flat End Mills","-","General","-",1,"",4,3,38,2,"","","","-","-","-","No","","82079090","103-2-Flute GP-0X Flat End Mills-Metric","S/C NB 0X TiAlN GP-SQEM F&#216:1 FL:4 S&#216:3 OAL:38 Z=2","2099-12-31","abhinav@rigpl.com","2013-12-23 18:13:47"
"CX01GSE000K8","-","Carbide","None","C-0X","TiAlN","Flat End Mills","-","General","-",1,"",6,3,50,2,"","","","-","-","-","No","","82079090","103-2-Flute GP-0X Flat End Mills-Metric","S/C NB 0X TiAlN GP-SQEM F&#216:1 FL:6 S&#216:3 OAL:50 Z=2","2099-12-31","anshuman@rigpl.com","2013-12-14 14:21:05"
"CX01GSE000L6","-","Carbide","None","C-0X","TiAlN","Flat End Mills","-","General","-",1.5,"",6,3,38,2,"","","","-","-","-","No","","82079090","103-2-Flute GP-0X Flat End Mills-Metric","S/C NB 0X TiAlN GP-SQEM F&#216:1.5 FL:6 S&#216:3 OAL:38 Z=2","2099-12-31","abhinav@rigpl.com","2013-12-23 18:15:41"
"CX01GSE000M4","-","Carbide","None","C-0X","TiAlN","Flat End Mills","-","General","-",1.5,"",8,3,50,2,"","","","-","-","-","No","","82079090","103-2-Flute GP-0X Flat End Mills-Metric","S/C NB 0X TiAlN GP-SQEM F&#216:1.5 FL:8 S&#216:3 OAL:50 Z=2","2099-12-31","anuj@rigpl.com","2014-03-22 10:49:27"
"CX01GSE000X9","-","Carbide","None","C-0X","TiAlN","Flat End Mills","-","General","-",2,"",6,3,38,4,"","","","-","-","-","No",20,"82079090","101-4-Flute GP-0X Flat End Mills-Metric","S/C NB 0X TiAlN GP-SQEM F&#216:2 FL:6 S&#216:3 OAL:38 Z=4","2099-12-31","ramesh.pant@rigpl.com","2013-08-12 12:08:08"
"CX01GSE000Y7","-","Carbide","None","C-0X","TiAlN","Flat End Mills","-","General","-",2,"",8,3,50,4,"","","","-","-","-","Yes",30,"82079090","101-4-Flute GP-0X Flat End Mills-Metric","S/C NB 0X TiAlN GP-SQEM F&#216:2 FL:8 S&#216:3 OAL:50 Z=4","2099-12-31","anshuman@rigpl.com","2013-12-14 14:22:11"
"CX01GSE00HD9","-","Carbide","None","C-0X","TiAlN","Flat End Mills","-","General","-",2,"",8,3,50,2,"","","","-","-","-","No","","82079090","103-2-Flute GP-0X Flat End Mills-Metric","S/C NB 0X TiAlN GP-SQEM F&#216:2 FL:8 S&#216:3 OAL:50 Z=2","2099-12-31","sushil.rathee@rigpl.com","2015-03-19 12:24:48.780280"
"CX01GSE00106","-","Carbide","None","C-0X","TiAlN","Flat End Mills","-","General","-",2.5,"",8,3,50,4,"","","","-","-","-","No","","82079090","101-4-Flute GP-0X Flat End Mills-Metric","S/C NB 0X TiAlN GP-SQEM F&#216:2.5 FL:8 S&#216:3 OAL:50 Z=4","2099-12-31","anuj@rigpl.com","2014-03-22 11:23:07"
"CX01GSE00130","-","Carbide","None","C-0X","TiAlN","Flat End Mills","-","General","-",3,"",12,3,38,4,"","","","-","-","-","Yes","","82079090","101-4-Flute GP-0X Flat End Mills-Metric","S/C NB 0X TiAlN GP-SQEM F&#216:3 FL:12 S&#216:3 OAL:38 Z=4","2099-12-31","sushil.rathee@rigpl.com","2013-12-31 10:25:06"
