"Item","RM","BM","Brand","Quality","SPL","TT","MTM","Purpose","Type","D1","W1","L1","D2","L2","Zn","D3","L3","A1_DEG","D1_Inch","W1_Inch","L1_Inch","Is PL","ROL","CETSH","Template or Variant Of","Description","EOL","Created By","Creation"
"HX1XGSE00G93","-","HSS","None","H-1X","None","Flat End Mills","-","General","-",3,"",10,4,42,4,"","","","-","-","-","No","","82079090","H1SE-Flat End Mills-Metric (D < 14mm)","HSS NB 1X  GP-SQEM FØ:3mm FL:10mm SØ:4mm OAL:42mm Z=4","2099-12-31","aditya@rigpl.com","2014-09-03 09:12:46.674427"
"HX1XGSE00GS5","-","HSS","None","H-1X","None","Flat End Mills","-","General","-",3,"",10,4,42,2,"","","","-","-","-","No","","82079090","H1SE-Flat End Mills-Metric (D < 14mm)","HSS NB 1X  GP-SQEM FØ:3mm FL:10mm SØ:4mm OAL:42mm Z=2","2099-12-31","ramesh.pant@rigpl.com","2014-10-13 12:19:21.392319"
"HX1XGSE00GA5","-","HSS","None","H-1X","None","Flat End Mills","-","General","-",4,"",11,4,43,4,"","","","-","-","-","No","","82079090","H1SE-Flat End Mills-Metric (D < 14mm)","HSS NB 1X  GP-SQEM FØ:4mm FL:11mm SØ:4mm OAL:43mm Z=4","2099-12-31","aditya@rigpl.com","2014-09-03 09:13:53.504237"
"HX1XGSE00GT3","-","HSS","None","H-1X","None","Flat End Mills","-","General","-",4,"",11,4,43,2,"","","","-","-","-","No","","82079090","H1SE-Flat End Mills-Metric (D < 14mm)","HSS NB 1X  GP-SQEM FØ:4mm FL:11mm SØ:4mm OAL:43mm Z=2","2099-12-31","ramesh.pant@rigpl.com","2014-10-13 12:22:08.069875"
"HX1XGSE00GB3","-","HSS","None","H-1X","None","Flat End Mills","-","General","-",5,"",13,5,47,4,"","","","-","-","-","No","","82079090","H1SE-Flat End Mills-Metric (D < 14mm)","HSS NB 1X  GP-SQEM FØ:5mm FL:13mm SØ:5mm OAL:47mm Z=4","2099-12-31","aditya@rigpl.com","2014-09-03 09:51:43.268783"
"HX1XGSE00GU1","-","HSS","None","H-1X","None","Flat End Mills","-","General","-",5,"",13,5,47,2,"","","","-","-","-","No","","82079090","H1SE-Flat End Mills-Metric (D < 14mm)","HSS NB 1X  GP-SQEM FØ:5mm FL:13mm SØ:5mm OAL:47mm Z=2","2099-12-31","ramesh.pant@rigpl.com","2014-10-13 12:24:05.203535"
"HX1XGSE00GC1","-","HSS","None","H-1X","None","Flat End Mills","-","General","-",6,"",16,6,52,4,"","","","-","-","-","No","","82079090","H1SE-Flat End Mills-Metric (D < 14mm)","HSS NB 1X  GP-SQEM FØ:6mm FL:16mm SØ:6mm OAL:52mm Z=4","2099-12-31","aditya@rigpl.com","2014-09-03 09:52:35.562078"
"HX1XGSE00GV9","-","HSS","None","H-1X","None","Flat End Mills","-","General","-",6,"",16,6,52,2,"","","","-","-","-","No","","82079090","H1SE-Flat End Mills-Metric (D < 14mm)","HSS NB 1X  GP-SQEM FØ:6mm FL:16mm SØ:6mm OAL:52mm Z=2","2099-12-31","ramesh.pant@rigpl.com","2014-10-13 12:25:57.089894"
"HX1XGSE00GW7","-","HSS","None","H-1X","None","Flat End Mills","-","General","-",7,"",16,8,52,2,"","","","-","-","-","No","","82079090","H1SE-Flat End Mills-Metric (D < 14mm)","HSS NB 1X  GP-SQEM FØ:7mm FL:16mm SØ:8mm OAL:52mm Z=2","2099-12-31","ramesh.pant@rigpl.com","2014-10-13 12:30:42.331977"
"HX1XGSE00GD8","-","HSS","None","H-1X","None","Flat End Mills","-","General","-",8,"",19,8,59,4,"","","","-","-","-","No","","82079090","H1SE-Flat End Mills-Metric (D < 14mm)","HSS NB 1X  GP-SQEM FØ:8mm FL:19mm SØ:8mm OAL:59mm Z=4","2099-12-31","aditya@rigpl.com","2014-09-03 09:53:32.316061"
