"Item","Series","RM","BM","Brand","Quality","SPL","TT","MTM","Purpose","Type","D1","W1","L1","D2","L2","Zn","D3","L3","A1_DEG","D1_Inch","W1_Inch","L1_Inch","Is PL","ROL","CETSH","Template or Variant Of","Description","EOL","Created By","Creation"
"HR1XMC002T2","NO-SERIES","-","HSS","Rohit","H-1X","None","Mandrels & Cutters","-","-","-",2.8,8.5,40,"","","","","","","-","-","-","No","","82078000","H1MC-Rectangular Mandrels-Metric-upto 6.9mm","HSS Rohit- 1X  Mandrel 2.8x8.5x40 ","2099-12-31","aditya@rigpl.com","2011-03-01 19:23:48"
"HR1XMC002U0","NO-SERIES","-","HSS","Rohit","H-1X","None","Mandrels & Cutters","-","-","-",3,6,150,"","","","","","","-","-","-","No","","82078000","H1MC-Rectangular Mandrels-Metric-upto 6.9mm","HSS Rohit- 1X  Mandrel 3x6x150 ","2099-12-31","aditya@rigpl.com","2011-03-01 19:23:48"
"HR1XMC00011","NO-SERIES","-","HSS","Rohit","H-1X","None","Mandrels & Cutters","-","-","-",4,4,45,"","","","","","","-","-","-","No","","82078000","H1MC-Square Mandrels-Metric-upto 11.9mm","HSS Rohit- 1X  Mandrel 4x4x45 ","2099-12-31","ramesh.pant@rigpl.com","2013-11-27 10:20:17"
"HR1XMC00029","NO-SERIES","-","HSS","Rohit","H-1X","None","Mandrels & Cutters","-","-","-",4,6,150,"","","","","","","-","-","-","No","","82078000","H1MC-Rectangular Mandrels-Metric-upto 6.9mm","HSS Rohit- 1X  Mandrel 4x6x150 ","2099-12-31","ramesh.pant@rigpl.com","2013-11-27 10:09:14"
"HR1XMC00HY9","NO-SERIES","-","HSS","Rohit","H-1X","None","Mandrels & Cutters","-","-","-",4,7,90,"","","","","","","-","-","-","No","","82078000","H1MC-Rectangular Mandrels-Metric-upto 6.9mm","HSS Rohit- 1X  Mandrel 4x7x90 ","2099-12-31","ramesh.pant@rigpl.com","2015-07-31 15:14:02.155582"
"HR1XMC002V8","NO-SERIES","-","HSS","Rohit","H-1X","None","Mandrels & Cutters","-","-","-",4,7,200,"","","","","","","-","-","-","No","","82078000","H1MC-Rectangular Mandrels-Metric-upto 6.9mm","HSS Rohit- 1X  Mandrel 4x7x200 ","2099-12-31","aditya@rigpl.com","2012-01-24 12:09:37"
"HR1XMC002W6","NO-SERIES","-","HSS","Rohit","H-1X","None","Mandrels & Cutters","-","-","-",4,8,150,"","","","","","","-","-","-","No","","82078000","H1MC-Rectangular Mandrels-Metric-upto 6.9mm","HSS Rohit- 1X  Mandrel 4x8x150 ","2099-12-31","aditya@rigpl.com","2011-12-09 18:26:25"
"HR1XMC00037","NO-SERIES","-","HSS","Rohit","H-1X","None","Mandrels & Cutters","-","-","-",5,5,50,"","","","","","","-","-","-","No","","82078000","H1MC-Square Mandrels-Metric-upto 11.9mm","HSS Rohit- 1X  Mandrel 5x5x50 ","2099-12-31","ramesh.pant@rigpl.com","2013-08-13 15:39:14"
"HR1XMC002X3","NO-SERIES","-","HSS","Rohit","H-1X","None","Mandrels & Cutters","-","-","-",5,5,75,"","","","","","","-","-","-","No","","82078000","H1MC-Square Mandrels-Metric-upto 11.9mm","HSS Rohit- 1X  Mandrel 5x5x75 ","2099-12-31","ramesh.pant@rigpl.com","2013-02-27 16:01:30"
"HR1XMC002Y1","NO-SERIES","-","HSS","Rohit","H-1X","None","Mandrels & Cutters","-","-","-",5,5,100,"","","","","","","-","-","-","No","","82078000","H1MC-Square Mandrels-Metric-upto 11.9mm","HSS Rohit- 1X  Mandrel 5x5x100 ","2099-12-31","aditya@rigpl.com","2011-03-01 19:23:48"
