Item,RM,BM,Brand,Quality,SPL,TT,MTM,Purpose,Type,D1,W1,L1,D2,L2,Zn,D3,L3,A1_DEG,D1_Inch,W1_Inch,L1_Inch,Is PL,ROL,CETSH,Template or Variant Of,Description,EOL,Created By,Creation
HX1XRD005G6,-,HSS,None,H-1X,None,Round Tool Bits,-,-,-,3.175,,76.2,,,,,,,01-Aug,-,3,No,,82073000,H1RD-Round Tool Bits-BSW-upto 3.9mm,"HSS NB 1X  Round Ø1/8""x3""",31-12-2099,ramesh.pant@rigpl.com,29-10-2013 10:33
HX1XRD02WK9,-,HSS,None,H-1X,None,Round Tool Bits,-,-,-,3.5,,100,,,,,,,-,-,-,No,80,82073000,H1RD-Round Tool Bits-Metric-3mm to 3.9mm,HSS NB 1X  Round Ø3.5x100,31-12-2099,ramesh.pant@rigpl.com,08:40.4
HX1XRD00787,-,HSS,None,H-1X,None,Round Tool Bits,-,-,-,4,,75,,,,,,,-,-,-,No,200,82073000,H1RD-Round Tool Bits-Metric-4mm to 4.9mm,HSS NB 1X  Round Ø4x75,31-12-2099,ramesh.pant@rigpl.com,29-06-2013 13:26
HX1XRD00795,-,HSS,None,H-1X,None,Round Tool Bits,-,-,-,4,,100,,,,,,,-,-,-,No,150,82073000,H1RD-Round Tool Bits-Metric-4mm to 4.9mm,HSS NB 1X  Round Ø4x100,31-12-2099,ramesh.pant@rigpl.com,31-08-2013 18:02
HX1XRD00878,-,HSS,None,H-1X,None,Round Tool Bits,-,-,-,4.5,,100,,,,,,,-,-,-,No,80,82073000,H1RD-Round Tool Bits-Metric-4mm to 4.9mm,HSS NB 1X  Round Ø4.5x100,31-12-2099,ramesh.pant@rigpl.com,15-10-2013 14:02
HX1XRD00969,-,HSS,None,H-1X,None,Round Tool Bits,-,-,-,5,,75,,,,,,,-,-,-,No,200,82073000,H1RD-Round Tool Bits-Metric-5mm to 5.9mm,HSS NB 1X  Round Ø5x75,31-12-2099,ramesh.pant@rigpl.com,29-06-2013 13:24
HX1XRD00977,-,HSS,None,H-1X,None,Round Tool Bits,-,-,-,5,,100,,,,,,,-,-,-,No,200,82073000,H1RD-Round Tool Bits-Metric-5mm to 5.9mm,HSS NB 1X  Round Ø5x100,31-12-2099,ramesh.pant@rigpl.com,29-06-2013 13:19
HX1XRD00A53,-,HSS,None,H-1X,None,Round Tool Bits,-,-,-,5.5,,75,,,,,,,-,-,-,No,50,82073000,H1RD-Round Tool Bits-Metric-5mm to 5.9mm,HSS NB 1X  Round Ø5.5x75,31-12-2099,ramesh.pant@rigpl.com,31-08-2013 17:47
HX1XRD02WL7,-,HSS,None,H-1X,None,Round Tool Bits,-,-,-,5.5,,100,,,,,,,-,-,-,No,60,82073000,H1RD-Round Tool Bits-Metric-5mm to 5.9mm,HSS NB 1X  Round Ø5.5x100,31-12-2099,ramesh.pant@rigpl.com,11:11.5
HX1XRD00B78,-,HSS,None,H-1X,None,Round Tool Bits,-,-,-,6,,75,,,,,,,-,-,-,No,120,82073000,H1RD-Round Tool Bits-Metric-6mm to 6.9mm,HSS NB1X  Round Ø6x75,31-12-2099,ramesh.pant@rigpl.com,20-12-2013 13:27
HX1XRD00B86,-,HSS,None,H-1X,None,Round Tool Bits,-,-,-,6,,100,,,,,,,-,-,-,No,280,82073000,H1RD-Round Tool Bits-Metric-6mm to 6.9mm,HSS NB1X  Round Ø6x100,31-12-2099,ramesh.pant@rigpl.com,29-10-2013 10:23
HX1XRD00BV0,-,HSS,None,H-1X,None,Round Tool Bits,-,-,-,6.35,,76.2,,,,,,,01-Apr,-,3,No,,82073000,H1RD-Round Tool Bits-BSW-4mm to 7.9mm,"HSS NB 1X  Round Ø1/4""x3""",31-12-2099,ramesh.pant@rigpl.com,12-06-2013 16:28
HX1XRD00BX5,-,HSS,None,H-1X,None,Round Tool Bits,-,-,-,6.35,,203.2,,,,,,,01-Apr,-,8,No,,82073000,H1RD-Round Tool Bits-BSW-4mm to 7.9mm,"HSS NB 1X  Round Ø1/4""x8""",31-12-2099,aditya@rigpl.com,12-06-2013 09:15
HX1XRD02RN7,-,HSS,None,H-1X,None,Round Tool Bits,-,-,-,6.5,,100,,,,,,,-,-,-,No,50,82073000,H1RD-Round Tool Bits-Metric-6mm to 6.9mm,HSS NB1X  Round Ø6.5x100,31-12-2099,ramesh.pant@rigpl.com,38:37.0
HX1XRD00D76,-,HSS,None,H-1X,None,Round Tool Bits,-,-,-,7,,100,,,,,,,-,-,-,No,250,82073000,H1RD-Round Tool Bits-Metric-7mm to 8.4mm,HSS NB 1X  Round Ø7x100,31-12-2099,ramesh.pant@rigpl.com,29-10-2013 10:47
HX1XRD00F66,-,HSS,None,H-1X,None,Round Tool Bits,-,-,-,8,,100,,,,,,,-,-,-,No,100,82073000,H1RD-Round Tool Bits-Metric-7mm to 8.4mm,HSS NB 1X  Round Ø8x100,31-12-2099,anuj@rigpl.com,18-05-2013 16:09
HX1XRD02RL2,-,HSS,None,H-1X,None,Round Tool Bits,-,-,-,8,,150,,,,,,,-,-,-,No,10,82073000,H1RD-Round Tool Bits-Metric-7mm to 8.4mm,HSS NB 1X  Round Ø8x150,31-12-2099,ramesh.pant@rigpl.com,08:03.7
HX1XRD02PW0,-,HSS,None,H-1X,None,Round Tool Bits,-,-,-,9,,100,,,,,,,-,-,-,No,130,82073000,H1RD-Round Tool Bits-Metric-8.5mm to 10mm,HSS NB 1X  Round Ø9x100,31-12-2099,ramesh.pant@rigpl.com,59:22.7
HX1XRD02P39,-,HSS,None,H-1X,None,Round Tool Bits,-,-,-,9.525,,76.2,,,,,,,03-Aug,-,3,No,,82073000,H1RD-Round Tool Bits-BSW-8mm to 11.9mm,"HSS NB 1X  Round Ø3/8""x3""",31-12-2099,ramesh.pant@rigpl.com,24:14.9
HX1XRD00J70,-,HSS,None,H-1X,None,Round Tool Bits,-,-,-,9.525,,101.6,,,,,,,03-Aug,-,4,No,,82073000,H1RD-Round Tool Bits-BSW-8mm to 11.9mm,"HSS NB 1X  Round Ø3/8""x4""",31-12-2099,ramesh.pant@rigpl.com,31-08-2013 17:49
HX1XRD02PX7,-,HSS,None,H-1X,None,Round Tool Bits,-,-,-,9.525,,152.4,,,,,,,03-Aug,-,6,No,5,82073000,H1RD-Round Tool Bits-BSW-8mm to 11.9mm,"HSS NB 1X  Round Ø3/8""x6""",31-12-2099,ramesh.pant@rigpl.com,02:52.2
HX1XRD02R86,-,HSS,None,H-1X,None,Round Tool Bits,-,-,-,10,,100,,,,,,,-,-,-,No,30,82073000,H1RD-Round Tool Bits-Metric-10mm to 12.9mm,HSS NB 1X  Round Ø10x100,31-12-2099,ramesh.pant@rigpl.com,01:27.8
HX1XRD00K79,-,HSS,None,H-1X,None,Round Tool Bits,-,-,-,10,,150,,,,,,,-,-,-,No,,82073000,H1RD-Round Tool Bits-Metric-10mm to 12.9mm,HSS NB 1X  Round Ø10x150,31-12-2099,ramesh.pant@rigpl.com,20-12-2013 13:30
HX1XRD00M10,-,HSS,None,H-1X,None,Round Tool Bits,-,-,-,11,,100,,,,,,,-,-,-,No,150,82073000,H1RD-Round Tool Bits-Metric-10mm to 12.9mm,HSS NB 1X  Round Ø11x100,31-12-2099,ramesh.pant@rigpl.com,29-10-2013 11:05
HX1XRD02PY5,-,HSS,None,H-1X,None,Round Tool Bits,-,-,-,11,,150,,,,,,,-,-,-,No,,82073000,H1RD-Round Tool Bits-Metric-10mm to 12.9mm,HSS NB 1X  Round Ø11x150,31-12-2099,ramesh.pant@rigpl.com,53:38.6
HX1XRD00P09,-,HSS,None,H-1X,None,Round Tool Bits,-,-,-,12,,75,,,,,,,-,-,-,No,,82073000,H1RD-Round Tool Bits-Metric-10mm to 12.9mm,HSS NB 1X  Round Ø12x75,31-12-2099,ramesh.pant@rigpl.com,29-10-2013 10:39
HX1XRD00P25,-,HSS,None,H-1X,None,Round Tool Bits,-,-,-,12,,100,,,,,,,-,-,-,No,30,82073000,H1RD-Round Tool Bits-Metric-10mm to 12.9mm,HSS NB 1X  Round Ø12x100,31-12-2099,ramesh.pant@rigpl.com,07-06-2013 13:45
HX1XRD00P41,-,HSS,None,H-1X,None,Round Tool Bits,-,-,-,12,,150,,,,,,,-,-,-,No,,82073000,H1RD-Round Tool Bits-Metric-10mm to 12.9mm,HSS NB 1X  Round Ø12x150,31-12-2099,ramesh.pant@rigpl.com,16-01-2014 13:34
HX1XRD00Q65,-,HSS,None,H-1X,None,Round Tool Bits,-,-,-,12.7,,101.6,,,,,,,01-Feb,-,4,No,,82073000,H1RD-Round Tool Bits-BSW-12mm to 15.9mm,"HSS NB 1X  Round Ø1/2""x4""",31-12-2099,ramesh.pant@rigpl.com,31-08-2013 17:55
HX1XRD00QP8,-,HSS,None,H-1X,None,Round Tool Bits,-,-,-,13,,100,,,,,,,-,-,-,No,60,82073000,H1RD-Round Tool Bits-Metric-13mm to 15.9mm,HSS NB 1X  Round Ø13x100,31-12-2099,ramesh.pant@rigpl.com,29-10-2013 11:01
HX1XRD00VY3,-,HSS,None,H-1X,None,Round Tool Bits,-,-,-,15.875,,152.4,,,,,,,05-Aug,-,6,No,,82073000,H1RD-Round Tool Bits-BSW-12mm to 15.9mm,"HSS NB 1X  Round Ø5/8""x6""",31-12-2099,anuj@rigpl.com,18-05-2013 16:06
HX1XRD00W85,-,HSS,None,H-1X,None,Round Tool Bits,-,-,-,16,,100,,,,,,,-,-,-,No,,82073000,H1RD-Round Tool Bits-Metric-16mm to 18.9mm,HSS NB 1X  Round Ø16x100,31-12-2099,aditya@rigpl.com,01-07-2013 14:49
HX1XRD02XW2,-,HSS,None,H-1X,None,Round Tool Bits,-,-,-,16,,150,,,,,,,-,-,-,No,,82073000,H1RD-Round Tool Bits-Metric-16mm to 18.9mm,HSS NB 1X  Round Ø16x150,31-12-2099,ramesh.pant@rigpl.com,45:14.2
