"Item","Series","RM","BM","Brand","Quality","SPL","TT","MTM","Purpose","Type","D1","W1","L1","D2","L2","Zn","D3","L3","A1_DEG","D1_Inch","W1_Inch","L1_Inch","Is PL","ROL","CETSH","Template or Variant Of","Description","EOL","Created By","Creation"
"HX1XSQ000F4","NO-SERIES","-","HSS","None","H-1X","None","Square Tool Bits","-","-","-",3.175,3.175,63.5,"","","","","",15,"1/8","1/8","2+1/2","No","","82078000","H1SQ-Square Tool Bits-BSW-upto 6.9mm","HSS NB 1X  SQ 1/8""x1/8""x2+1/2"" 15°","2099-12-31","ramesh.pant@rigpl.com","2013-10-21 15:14:20"
"HX1XSQ000H0","NO-SERIES","-","HSS","None","H-1X","None","Square Tool Bits","-","-","-",3.175,3.175,76.2,"","","","","",15,"1/8","1/8","3","No","","82078000","H1SQ-Square Tool Bits-BSW-upto 6.9mm","HSS NB 1X  SQ 1/8""x1/8""x3"" 15°","2099-12-31","ramesh.pant@rigpl.com","2013-08-31 17:38:04"
"HX1XSQ000K3","NO-SERIES","-","HSS","None","H-1X","None","Square Tool Bits","-","-","-",3.175,3.175,101.6,"","","","","",15,"1/8","1/8","4","No","","82078000","H1SQ-Square Tool Bits-BSW-upto 6.9mm","HSS NB 1X  SQ 1/8""x1/8""x4"" 15°","2099-12-31","ramesh.pant@rigpl.com","2013-08-31 17:45:06"
"HX1XSQ00NS5","NO-SERIES","-","HSS","None","H-1X","None","Square Tool Bits","-","-","-",4.763,4.763,63.5,"","","","","",0,"3/16","3/16","2+1/2","No","","82078000","H1SQ-Square Tool Bits-BSW-upto 6.9mm","HSS NB 1X  SQ 3/16""x3/16""x2+1/2"" 0°","2099-12-31","ramesh.pant@rigpl.com","2015-02-03 16:04:00.251036"
"HX1XSQ000Y2","NO-SERIES","-","HSS","None","H-1X","None","Square Tool Bits","-","-","-",4.763,4.763,76.2,"","","","","",15,"3/16","3/16","3","No","","82078000","H1SQ-Square Tool Bits-BSW-upto 6.9mm","HSS NB 1X  SQ 3/16""x3/16""x3"" 15°","2099-12-31","ramesh.pant@rigpl.com","2013-09-10 17:45:19"
"HX1XSQ00N69","NO-SERIES","-","HSS","None","H-1X","None","Square Tool Bits","-","-","-",4.763,4.763,101.6,"","","","","",15,"3/16","3/16","4","No","","82078000","H1SQ-Square Tool Bits-BSW-upto 6.9mm","HSS NB 1X  SQ 3/16""x3/16""x4"" 15°","2099-12-31","ramesh.pant@rigpl.com","2014-07-11 15:03:43.407998"
"HX1XSQ00143","NO-SERIES","-","HSS","None","H-1X","None","Square Tool Bits","-","-","-",5,5,100,"","","","","",15,"-","-","-","No","","82078000","H1SQ-Square Tool Bits-Metric-upto 8.9mm","HSS NB 1X  SQ 5x5x100 15°","2099-12-31","ramesh.pant@rigpl.com","2014-01-11 10:32:44"
"HX1XSQ001C0","NO-SERIES","-","HSS","None","H-1X","None","Square Tool Bits","-","-","-",6,6,100,"","","","","",15,"-","-","-","No","","82078000","H1SQ-Square Tool Bits-Metric-upto 8.9mm","HSS NB 1X  SQ 6x6x100 15°","2099-12-31","ramesh.pant@rigpl.com","2014-03-21 11:31:08"
"HX1XSQ001E5","NO-SERIES","-","HSS","None","H-1X","None","Square Tool Bits","-","-","-",6,6,150,"","","","","",15,"-","-","-","No","","82078000","H1SQ-Square Tool Bits-Metric-upto 8.9mm","HSS NB 1X  SQ 6x6x150 15°","2099-12-31","ramesh.pant@rigpl.com","2014-05-14 12:34:14"
"HX1XSQ001M8","NO-SERIES","-","HSS","None","H-1X","None","Square Tool Bits","-","-","-",6.35,6.35,63.5,"","","","","",15,"1/4","1/4","2+1/2","No","","82078000","H1SQ-Square Tool Bits-BSW-upto 6.9mm","HSS NB 1X  SQ 1/4""x1/4""x2+1/2"" 15°","2099-12-31","ramesh.pant@rigpl.com","2013-05-15 16:21:49"
"HX1XSQ001P1","NO-SERIES","-","HSS","None","H-1X","None","Square Tool Bits","-","-","-",6.35,6.35,76.2,"","","","","",15,"1/4","1/4","3","No",30,"82078000","H1SQ-Square Tool Bits-BSW-upto 6.9mm","HSS NB 1X  SQ 1/4""x1/4""x3"" 15°","2099-12-31","ramesh.pant@rigpl.com","2013-06-13 11:49:35"
"HX1XSQ001R7","NO-SERIES","-","HSS","None","H-1X","None","Square Tool Bits","-","-","-",6.35,6.35,101.6,"","","","","",15,"1/4","1/4","4","No",50,"82078000","H1SQ-Square Tool Bits-BSW-upto 6.9mm","HSS NB 1X  SQ 1/4""x1/4""x4"" 15°","2099-12-31","anuj@rigpl.com","2013-05-15 15:57:16"
"HX1XSQ001T2","NO-SERIES","-","HSS","None","H-1X","None","Square Tool Bits","-","-","-",6.35,6.35,152.4,"","","","","",15,"1/4","1/4","6","No",20,"82078000","H1SQ-Square Tool Bits-BSW-upto 6.9mm","HSS NB 1X  SQ 1/4""x1/4""x6"" 15°","2099-12-31","ramesh.pant@rigpl.com","2013-10-29 12:44:01"
"HX1XSQ001X3","NO-SERIES","-","HSS","None","H-1X","None","Square Tool Bits","-","-","-",7.938,7.938,63.5,"","","","","",15,"5/16","5/16","2+1/2","No","","82078000","H1SQ-Square Tool Bits-BSW-7mm to 12.9mm","HSS NB 1X  SQ 5/16""x5/16""x2+1/2"" 15°","2099-12-31","ramesh.pant@rigpl.com","2013-10-14 11:08:00"
"HX1XSQ001Z9","NO-SERIES","-","HSS","None","H-1X","None","Square Tool Bits","-","-","-",7.938,7.938,76.2,"","","","","",15,"5/16","5/16","3","No","","82078000","H1SQ-Square Tool Bits-BSW-7mm to 12.9mm","HSS NB 1X  SQ 5/16""x5/16""x3"" 15°","2099-12-31","ramesh.pant@rigpl.com","2013-06-13 11:44:31"
"HX1XSQ00218","NO-SERIES","-","HSS","None","H-1X","None","Square Tool Bits","-","-","-",7.938,7.938,101.6,"","","","","",15,"5/16","5/16","4","No",30,"82078000","H1SQ-Square Tool Bits-BSW-7mm to 12.9mm","HSS NB 1X  SQ 5/16""x5/16""x4"" 15°","2099-12-31","ramesh.pant@rigpl.com","2013-09-21 09:29:45"
"HX1XSQ00N10","NO-SERIES","-","HSS","None","H-1X","None","Square Tool Bits","-","-","-",7.938,7.938,152.4,"","","","","",15,"5/16","5/16","6","No","","82078000","H1SQ-Square Tool Bits-BSW-7mm to 12.9mm","HSS NB 1X  SQ 5/16""x5/16""x6"" 15°","2099-12-31","ramesh.pant@rigpl.com","2014-07-11 14:28:41.977955"
"HX1XSQ00275","NO-SERIES","-","HSS","None","H-1X","None","Square Tool Bits","-","-","-",8,8,80,"","","","","",0,"-","-","-","No","","82078000","H1SQ-Square Tool Bits-Metric-upto 8.9mm","HSS NB 1X  SQ 8x8x80 0°","2099-12-31","aditya@rigpl.com","2013-06-05 15:42:54"
"HX1XSQ00283","NO-SERIES","-","HSS","None","H-1X","None","Square Tool Bits","-","-","-",8,8,100,"","","","","",15,"-","-","-","No","","82078000","H1SQ-Square Tool Bits-Metric-upto 8.9mm","HSS NB 1X  SQ 8x8x100 15°","2099-12-31","ramesh.pant@rigpl.com","2014-01-03 13:08:21"
"HX1XSQ002A3","NO-SERIES","-","HSS","None","H-1X","None","Square Tool Bits","-","-","-",8,8,150,"","","","","",15,"-","-","-","No","","82078000","H1SQ-Square Tool Bits-Metric-upto 8.9mm","HSS NB 1X  SQ 8x8x150 15°","2099-12-31","ramesh.pant@rigpl.com","2014-04-21 11:05:45"
"HX1XSQ002V7","NO-SERIES","-","HSS","None","H-1X","None","Square Tool Bits","-","-","-",9.525,9.525,76.2,"","","","","",15,"3/8","3/8","3","No",100,"82078000","H1SQ-Square Tool Bits-BSW-7mm to 12.9mm","HSS NB 1X  SQ 3/8""x3/8""x3"" 15°","2099-12-31","ramesh.pant@rigpl.com","2013-09-10 17:36:06"
"HX1XSQ002X2","NO-SERIES","-","HSS","None","H-1X","None","Square Tool Bits","-","-","-",9.525,9.525,101.6,"","","","","",15,"3/8","3/8","4","No",80,"82078000","H1SQ-Square Tool Bits-BSW-7mm to 12.9mm","HSS NB 1X  SQ 3/8""x3/8""x4"" 15°","2099-12-31","ramesh.pant@rigpl.com","2013-09-10 17:40:26"
"HX1XSQ002Z8","NO-SERIES","-","HSS","None","H-1X","None","Square Tool Bits","-","-","-",9.525,9.525,152.4,"","","","","",15,"3/8","3/8","6","No","","82078000","H1SQ-Square Tool Bits-BSW-7mm to 12.9mm","HSS NB 1X  SQ 3/8""x3/8""x6"" 15°","2099-12-31","ramesh.pant@rigpl.com","2014-05-06 17:01:43"
"HX1XSQ00317","NO-SERIES","-","HSS","None","H-1X","None","Square Tool Bits","-","-","-",9.525,9.525,203.2,"","","","","",15,"3/8","3/8","8","No","","82078000","H1SQ-Square Tool Bits-BSW-7mm to 12.9mm","HSS NB 1X  SQ 3/8""x3/8""x8"" 15°","2099-12-31","ramesh.pant@rigpl.com","2013-06-07 14:32:01"
"HX1XSQ00333","NO-SERIES","-","HSS","None","H-1X","None","Square Tool Bits","-","-","-",9.525,9.525,254,"","","","","",15,"3/8","3/8","10","No","","82078000","H1SQ-Square Tool Bits-BSW-7mm to 12.9mm","HSS NB 1X  SQ 3/8""x3/8""x10"" 15°","2099-12-31","ramesh.pant@rigpl.com","2013-10-12 17:45:34"
"HX1XSQ00366","NO-SERIES","-","HSS","None","H-1X","None","Square Tool Bits","-","-","-",10,10,100,"","","","","",15,"-","-","-","No","","82078000","H1SQ-Square Tool Bits-Metric-9mm to 14.9mm","HSS NB 1X  SQ 10x10x100 15°","2099-12-31","ramesh.pant@rigpl.com","2013-09-03 12:48:32"
"HX1XSQ00382","NO-SERIES","-","HSS","None","H-1X","None","Square Tool Bits","-","-","-",10,10,150,"","","","","",15,"-","-","-","No","","82078000","H1SQ-Square Tool Bits-Metric-9mm to 14.9mm","HSS NB 1X  SQ 10x10x150 15°","2099-12-31","ramesh.pant@rigpl.com","2014-03-01 16:11:30"
"HX1XSQ00PN4","NO-SERIES","-","HSS","None","H-1X","None","Square Tool Bits","-","-","-",10,10,200,"","","","","",15,"-","-","-","No","","82078000","H1SQ-Square Tool Bits-Metric-9mm to 14.9mm","HSS NB 1X  SQ 10x10x200 15°","2099-12-31","ramesh.pant@rigpl.com","2016-07-04 17:09:24.256546"
"HX1XSQ003G9","NO-SERIES","-","HSS","None","H-1X","None","Square Tool Bits","-","-","-",11.113,11.113,88.9,"","","","","",15,"7/16","7/16","3+1/2","No","","82078000","H1SQ-Square Tool Bits-BSW-7mm to 12.9mm","HSS NB 1X  SQ 7/16""x7/16""x3+1/2"" 15°","2099-12-31","ramesh.pant@rigpl.com","2013-06-05 17:51:31"
"HX1XSQ00NJ5","NO-SERIES","-","HSS","None","H-1X","None","Square Tool Bits","-","-","-",12,12,150,"","","","","",0,"-","-","-","No","","82078000","H1SQ-Square Tool Bits-Metric-9mm to 14.9mm","HSS NB 1X  SQ 12x12x150 0°","2099-12-31","ramesh.pant@rigpl.com","2014-10-06 11:27:24.879141"
"HX1XSQ003V6","NO-SERIES","-","HSS","None","H-1X","None","Square Tool Bits","-","-","-",12.7,12.7,76.2,"","","","","",15,"1/2","1/2","3","No","","82078000","H1SQ-Square Tool Bits-BSW-7mm to 12.9mm","HSS NB 1X  SQ 1/2""x1/2""x3"" 15°","2099-12-31","ramesh.pant@rigpl.com","2014-01-16 13:20:22"
"HX1XSQ003X1","NO-SERIES","-","HSS","None","H-1X","None","Square Tool Bits","-","-","-",12.7,12.7,101.6,"","","","","",15,"1/2","1/2","4","No",50,"82078000","H1SQ-Square Tool Bits-BSW-7mm to 12.9mm","HSS NB 1X  SQ 1/2""x1/2""x4"" 15°","2099-12-31","ramesh.pant@rigpl.com","2013-06-13 11:52:58"
